Vehicle,AllCoverages,Collision,PropertyDamage,Comprehensive,Pip,MedPay,BodilyInjury
Mercedes-Benz E class convertible 4WD,,45,-41.0,121.0,,,
Mercedes-Benz E class station wagon 4WD,,25,-25.0,113.0,,,
Polestar 2 electric 4dr 4WD,,11,-45.0,,,,
Tesla Model S 4dr electric 4WD,38.0,141,-12.0,53.0,-40.0,-37.0,-22.0
Audi A8L 4dr 4WD,,92,-18.0,168.0,,,
Audi S8 4dr 4WD,,241,,367.0,,,
Bentley Continental GT 2dr 4WD,,378,,582.0,,,
Bentley Continental GTC convertible 4WD,,287,-41.0,1139.0,,,
Bentley Flying Spur 4dr 4WD,,392,,430.0,,,
BMW 7 series 4dr,,189,57.0,228.0,,,
BMW 7 series 4dr 4WD,,154,6.0,292.0,-21.0,,
Genesis G90 4dr 2WD/4WD,,38,-38.0,123.0,,,
Lexus LS 500 4dr,,76,-15.0,86.0,,,
Lexus LS 500 4dr 4WD,,101,,88.0,,,
Mercedes-Benz EQS electric sedan 4dr,,162,,,,,
Mercedes-Benz S class 4dr LWB 4WD,,200,-16.0,376.0,-14.0,,
Volvo S90 4dr LWB 4WD,,22,-28.0,36.0,,,
Volvo V90 Cross Country station wagon 4WD,,-1,,33.0,,,
Mazda MX-5 Miata convertible,-25.0,-10,-35.0,-19.0,-3.0,-30.0,-46.0
Porsche Boxster convertible,,54,-42.0,54.0,,,
Porsche Cayman 2dr,,59,-68.0,,,,
BMW Z4 convertible,,13,-60.0,13.0,-46.0,,
Chevrolet Corvette 2dr,-9.0,45,-55.0,16.0,-50.0,-43.0,-35.0
Chevrolet Corvette convertible,-17.0,14,-57.0,47.0,-53.0,-59.0,-42.0
Ferrari F8 Tributo 2dr,,489,,,,,
Ford Mustang 2dr,62.0,81,58.0,0.0,50.0,83.0,75.0
Ford Mustang convertible,,16,-11.0,8.0,7.0,,
Ford Mustang GT 2dr,59.0,122,22.0,19.0,23.0,37.0,47.0
Ford Mustang GT convertible,,-2,-35.0,-1.0,,,
Ford Mustang Mach 1 2dr,,37,-65.0,-14.0,,,
Ford Mustang Shelby GT500 2dr,,59,-28.0,-8.0,-69.0,,
McLaren 720S convertible,,652,,621.0,,,
Porsche 911 Carrera 2dr,,122,-76.0,86.0,-66.0,,
Porsche 911 Carrera convertible,,108,-66.0,119.0,-71.0,,
Porsche 911 Targa 2dr 4WD,,110,,,,,
Porsche 911 Turbo 2dr 4WD,,332,,,,,
Porsche 911 Turbo convertible 4WD,,115,,,,,
Toyota GR Supra 2dr,17.0,90,-22.0,11.0,7.0,-4.0,-31.0
Aston Martin Vantage V8 2dr,,428,,524.0,,,
Audi e-tron GT electric 4dr 4WD,,161,,,,,
Audi R8 2dr 4WD,,214,,542.0,,,
Chevrolet Camaro 2dr,59.0,84,47.0,10.0,56.0,65.0,66.0
Chevrolet Camaro convertible,,31,-4.0,-8.0,4.0,,
Chevrolet Camaro ZL1 2dr,,94,3.0,134.0,,,
Mercedes-Benz GT class AMG 4dr 4WD,,241,12.0,265.0,6.0,,
Porsche Panamera 4dr,,98,-12.0,245.0,-48.0,,
Porsche Panamera GTS 4dr 4WD,,252,,,,,
Porsche Panamera plug-in hybrid 4dr 4WD,,110,,112.0,,,
Porsche Taycan electric 4dr 4WD,,175,-23.0,207.0,-63.0,,-35.0
Chrysler Pacifica,-10.0,-23,-1.0,-19.0,-8.0,-9.0,3.0
Chrysler Pacifica 4WD,-17.0,-22,-11.0,-11.0,-25.0,-27.0,-16.0
Chrysler Pacifica plug-in hybrid,-18.0,-18,-23.0,-3.0,-31.0,-54.0,-13.0
Chrysler Voyager minivan,,-18,31.0,-19.0,31.0,,
Honda Odyssey,-22.0,-20,-19.0,-23.0,-18.0,-12.0,-28.0
Kia Carnival,1.0,3,-12.0,9.0,24.0,14.0,-6.0
Toyota Sienna hybrid van,7.0,17,-12.0,2.0,18.0,30.0,6.0
Toyota Sienna hybrid van 4WD,-2.0,9,-19.0,18.0,-6.0,-12.0,-10.0
Chevrolet Colorado crew cab,15.0,-3,49.0,-40.0,6.0,7.0,44.0
Chevrolet Colorado crew cab 4WD,-7.0,-15,26.0,-30.0,-33.0,-29.0,1.0
Chevrolet Colorado ext. cab,,-19,42.0,-43.0,-20.0,,33.0
Chevrolet Colorado ext. cab 4WD,,-37,-4.0,-41.0,-52.0,,
Ford Maverick crew cab pickup,,-29,-16.0,-33.0,,,
Ford Maverick crew cab pickup 4WD,,-19,-37.0,-13.0,-21.0,,
Ford Maverick hybrid crew cab pickup,,-31,-18.0,-18.0,-27.0,,
Ford Ranger crew cab,8.0,-11,39.0,-36.0,-10.0,-4.0,37.0
Ford Ranger crew cab 4WD,-10.0,-12,15.0,-35.0,-25.0,-29.0,-6.0
Ford Ranger ext. cab,,-28,42.0,-42.0,-26.0,,27.0
Ford Ranger ext. cab 4WD,-15.0,-23,22.0,-33.0,-33.0,-37.0,-19.0
GMC Canyon crew cab,,-18,24.0,-46.0,-8.0,,34.0
GMC Canyon crew cab 4WD,-14.0,-20,8.0,-32.0,-37.0,-43.0,-2.0
GMC Canyon ext. cab,,-27,,-33.0,,,
GMC Canyon ext. cab 4WD,,-45,,,,,
Honda Ridgeline crew cab 4WD,-26.0,-24,-21.0,-18.0,-36.0,-39.0,-32.0
Hyundai Santa Cruz crew cab pickup,,3,-7.0,21.0,,,
Hyundai Santa Cruz crew cab pickup 4WD,,11,-11.0,-10.0,-29.0,-24.0,
Jeep Gladiator crew cab pickup 4WD,-4.0,-35,50.0,-24.0,-31.0,-30.0,13.0
Nissan Frontier crew cab LWB 4WD,,-10,,28.0,,,
Nissan Frontier crew cab SWB,,12,-4.0,-17.0,-12.0,,
Nissan Frontier crew cab SWB 4WD,-18.0,-12,-20.0,-14.0,-22.0,-35.0,-22.0
Nissan Frontier ext. cab,,18,,-21.0,,,
Nissan Frontier ext. cab 4WD,,-17,,-22.0,,,
Toyota Tacoma double cab,,-4,8.0,-14.0,10.0,,1.0
Toyota Tacoma double cab 4WD,-14.0,-8,-8.0,-20.0,-24.0,-25.0,-20.0
Toyota Tacoma double cab LWB,,-1,,-45.0,,,
Toyota Tacoma double cab LWB 4WD,,2,-17.0,-18.0,-32.0,,
Toyota Tacoma xtra cab,,-16,2.0,-10.0,,,
Toyota Tacoma xtra cab 4WD,,-24,-34.0,-42.0,-14.0,,
Chevrolet Silverado 1500,,-10,60.0,-38.0,,,
Chevrolet Silverado 1500 4WD,,-34,13.0,-43.0,,,
Chevrolet Silverado 1500 crew cab,18.0,-4,41.0,-13.0,-8.0,8.0,52.0
Chevrolet Silverado 1500 crew cab 4WD,0.0,-9,27.0,-9.0,-36.0,-35.0,12.0
Chevrolet Silverado 1500 ext. cab,,-4,72.0,-30.0,1.0,,73.0
Chevrolet Silverado 1500 ext. cab 4WD,-1.0,-13,31.0,-28.0,-42.0,-31.0,22.0
Ford F-150,,16,74.0,-36.0,,,
Ford F-150 4WD,,15,5.0,-22.0,,,
Ford F-150 hybrid crew,,-14,,-15.0,,,
Ford F-150 hybrid crew 4WD,-10.0,2,-12.0,2.0,-46.0,-41.0,-13.0
Ford F-150 Lightning electric crew cab pickup 4WD,,34,,,,,
Ford F-150 SuperCab,,-11,32.0,-14.0,,,
Ford F-150 SuperCab 4WD,,-21,-8.0,-18.0,-45.0,-36.0,
Ford F-150 SuperCrew,-4.0,-1,0.0,-21.0,-8.0,-3.0,1.0
Ford F-150 SuperCrew 4WD,-16.0,-10,-12.0,-5.0,-37.0,-35.0,-24.0
GMC Sierra 1500,,-13,,,,,
GMC Sierra 1500 4WD,,-23,,-52.0,,,
GMC Sierra 1500 crew cab,3.0,-10,13.0,4.0,-18.0,-12.0,19.0
GMC Sierra 1500 crew cab 4WD,-7.0,-11,6.0,14.0,-39.0,-40.0,-8.0
GMC Sierra 1500 ext. cab,,6,51.0,-1.0,,,
GMC Sierra 1500 ext. cab 4WD,-10.0,-10,7.0,-21.0,-48.0,-29.0,-6.0
Nissan Titan crew cab short bed,,22,-1.0,-9.0,11.0,,
Nissan Titan crew cab short bed 4WD,-10.0,-1,-5.0,2.0,-33.0,-28.0,-21.0
Nissan Titan XD crew cab 4WD,,26,-6.0,18.0,,,
Ram 1500 Classic crew cab LWB,,0,67.0,-26.0,,,
Ram 1500 Classic crew cab LWB 4WD,,30,122.0,-41.0,,,
Ram 1500 Classic crew cab SWB,,3,77.0,-44.0,,,
Ram 1500 Classic crew cab SWB 4WD,18.0,-4,70.0,-34.0,-16.0,-13.0,48.0
Ram 1500 Classic ext. cab,,5,95.0,-29.0,0.0,,84.0
Ram 1500 Classic ext. cab 4WD,6.0,-7,51.0,-43.0,-35.0,-29.0,29.0
Ram 1500 Classic LWB,,-8,,,,,
Ram 1500 Classic SWB,,1,,-20.0,,,
Ram 1500 crew cab LWB,,-8,21.0,-13.0,,,
Ram 1500 crew cab LWB 4WD,-9.0,-7,13.0,-14.0,-38.0,-33.0,-14.0
Ram 1500 crew cab SWB,10.0,-1,29.0,9.0,-7.0,-2.0,18.0
Ram 1500 crew cab SWB 4WD,-2.0,-5,15.0,7.0,-27.0,-30.0,-6.0
Ram 1500 quad cab,,-11,50.0,-1.0,5.0,,41.0
Ram 1500 quad cab 4WD,-3.0,-14,32.0,-23.0,-33.0,-27.0,7.0
Rivian R1T 4dr electric 4WD,,41,-12.0,,,,
Toyota Tundra CrewMax,-3.0,-15,-5.0,45.0,-4.0,-14.0,-13.0
Toyota Tundra CrewMax 4WD,-15.0,-16,-2.0,7.0,-35.0,-40.0,-25.0
Toyota Tundra CrewMax hybrid pickup 4WD,,30,,58.0,,,
Toyota Tundra CrewMax pickup LWB 4WD,,-24,-21.0,31.0,,,
Toyota Tundra double cab,,-17,13.0,24.0,-1.0,,
Toyota Tundra double cab 4WD,-13.0,-16,5.0,-5.0,-33.0,-36.0,-20.0
Toyota Tundra double cab LWB,,-52,,69.0,,,
Toyota Tundra double cab LWB 4WD,,-13,24.0,5.0,,,
Chevrolet Silverado 2500 4WD,,-32,26.0,-53.0,,,
Chevrolet Silverado 2500 crew cab,,-27,76.0,-25.0,,,
Chevrolet Silverado 2500 crew cab 4WD,11.0,-11,57.0,13.0,-50.0,-48.0,28.0
Chevrolet Silverado 2500 ext. cab,,-36,,,,,
Chevrolet Silverado 2500 ext. cab 4WD,,-22,39.0,-35.0,,,
Chevrolet Silverado 3500 4WD,,-43,,,,,
Chevrolet Silverado 3500 crew cab 4WD,16.0,3,59.0,21.0,-50.0,-45.0,21.0
Ford F-250 4WD,,-41,51.0,-61.0,,,
Ford F-250 SuperCab,,-36,,12.0,,,
Ford F-250 SuperCab 4WD,,-37,43.0,-41.0,-59.0,,
Ford F-250 SuperCrew,,-14,,-18.0,,,
Ford F-250 SuperCrew 4WD,8.0,-17,47.0,59.0,-53.0,-54.0,7.0
Ford F-350 4WD,,-30,28.0,3.0,,,
Ford F-350 SuperCab 4WD,,-39,8.0,-40.0,,,
Ford F-350 SuperCrew 4WD,14.0,-4,43.0,86.0,-55.0,-52.0,4.0
Ford F-450 SuperCrew 4WD,,15,75.0,162.0,-51.0,,
GMC Sierra 2500 4WD,,-45,,,,,
GMC Sierra 2500 crew cab 4WD,16.0,-3,56.0,51.0,-49.0,-53.0,20.0
GMC Sierra 2500 ext. cab 4WD,,-29,22.0,-48.0,,,
GMC Sierra 3500 crew cab 4WD,23.0,10,60.0,59.0,-50.0,-50.0,21.0
Ram 2500 4WD,,-40,45.0,,,,
Ram 2500 crew cab LWB,,-37,,-33.0,,,
Ram 2500 crew cab LWB 4WD,,-2,80.0,-9.0,-44.0,,
Ram 2500 crew cab SWB 4WD,5.0,-12,59.0,-3.0,-45.0,-47.0,10.0
Ram 2500 mega cab 4WD,22.0,0,66.0,53.0,-41.0,-31.0,25.0
Ram 3500 4WD,,-19,,,,,
Ram 3500 crew cab LWB 4WD,36.0,14,106.0,64.0,-29.0,-32.0,20.0
Ram 3500 crew cab SWB 4WD,,5,37.0,16.0,,,
Ram 3500 mega cab 4WD,,26,73.0,82.0,-37.0,,
Mitsubishi Mirage,,44,43.0,41.0,128.0,,
Chevrolet Spark,36.0,-6,52.0,-34.0,69.0,96.0,97.0
Hyundai Accent,54.0,21,57.0,-19.0,91.0,103.0,114.0
Kia Rio,74.0,32,82.0,-15.0,128.0,173.0,138.0
Mini Cooper,,-24,-20.0,-22.0,-34.0,,
Mitsubishi Mirage G4,,82,60.0,27.0,230.0,,
Acura ILX,11.0,15,-2.0,-13.0,30.0,42.0,17.0
Chevrolet Bolt electric,-32.0,-36,-13.0,-48.0,-27.0,-47.0,-33.0
Chevrolet Bolt EUV electric 4dr,,-2,-28.0,-26.0,,,
Honda Civic,29.0,36,20.0,-9.0,60.0,49.0,35.0
Honda Civic hatchback,21.0,32,6.0,-5.0,40.0,39.0,27.0
Honda Civic Si,,47,-13.0,21.0,,,
Honda Insight hybrid,2.0,4,3.0,-16.0,27.0,15.0,0.0
Hyundai Elantra,45.0,52,25.0,20.0,76.0,97.0,49.0
Hyundai Elantra hybrid,,48,10.0,21.0,67.0,,
Hyundai Elantra N 4dr,,124,,30.0,,,
Hyundai Ioniq hybrid,22.0,25,6.0,31.0,39.0,66.0,14.0
Hyundai Ioniq plug-in hybrid,,9,-5.0,-6.0,,,
Kia Forte,46.0,27,36.0,23.0,78.0,117.0,72.0
Mazda 3,4.0,4,18.0,-16.0,18.0,18.0,-1.0
Mazda 3 4WD,,6,4.0,2.0,-8.0,,
Mazda 3 hatchback,,-3,-13.0,-7.0,-8.0,,-15.0
Mazda 3 hatchback 4WD,,8,-18.0,-5.0,-15.0,,-47.0
Nissan Kicks,16.0,11,3.0,-20.0,60.0,74.0,30.0
Nissan Leaf electric,-5.0,3,4.0,-27.0,-6.0,-24.0,-6.0
Nissan Sentra,45.0,40,28.0,-3.0,75.0,118.0,71.0
Nissan Versa,51.0,29,38.0,-5.0,107.0,136.0,89.0
Subaru Impreza 4WD,,-18,,,,,
Subaru Impreza 4WD with EyeSight,-10.0,-21,-3.0,-13.0,-11.0,18.0,-4.0
Subaru WRX 4WD,8.0,17,4.0,-5.0,-4.0,-5.0,15.0
Subaru WRX 4WD with EyeSight,,16,-15.0,-14.0,,,
Toyota Corolla,19.0,6,12.0,-10.0,69.0,61.0,38.0
Toyota Corolla hatchback,-1.0,-5,-2.0,-3.0,4.0,8.0,2.0
